Year,Agricultural_Conservation_Easement_Program_ACEP,Agricultural_Management_Assistance_AMA,Agricultural_Water_Enhancement_Program_AWEP,Chesapeake_Bay_Watershed_Initiative_CBWI,Conservation_Reserve_Program_CRP,Conservation_Stewardship_Program_CSP_Contracts,Conservation_Stewardship_Program_CSP,Conservation_Technical_Assistance_CTA,Emergency_Watershed_Protection_Program_EWP,Environmental_Quality_Incentives_Program_EQIP,Grassland_Reserve_Program_GRP,Healthy_Forests_Reserve_Program_HFRP,Other_funds,Regional_Conservation_Partnership_Program_RCPP,Resource_Conservation_and_Development_Program_RCD,Watershed_Protection_and_Flood_Prevention_Program_WFPO,Watershed_Rehabilitation_WRHB,Wetlands_Reserve_Program_WRP,Wildlife_Habitat_Incentive_Program_WHIP
2005,0,71678,0,0,1538331,0,0,19139028,22145,12309925,134499,0,97381,0,2540,66584,0,252603,401018
2006,0,40135,0,0,2500844,0,0,20702172,60037,17029888,143722,0,81041,0,2101,54235,0,283330,1167394
2007,0,38758,0,0,3334915,0,0,21590534,88805,21418444,64857,0,35362,0,18,22357,0,235042,1265982
2008,0,20989,0,0,2330137,0,0,23536581,97446,22101783,57620,91,8049,0,260,11532,0,236312,1761047
2009,0,68269,14308,4721,1794945,0,0,22823437,140093,21472767,41804,1085,21703,0,20,6393,324,201113,1239468
2010,0,42585,357883,90480,1373523,25114437,0,24720668,34396,22590036,113693,0,5469,0,1744,12305,12,200563,1811758
2011,0,44204,228480,133219,2127145,12750676,0,26139288,4365,21009321,88721,10871,21091,0,1201,17829,94,197478,2274279
2012,0,21642,315076,179053,2193041,12109876,0,25853503,4309,22480035,79111,4445,7319,0,0,3305,637,304669,1893084
2013,0,22162,287663,111210,1779840,9519373,0,25458103,1502,22587223,113628,11722,22677,0,127,2585,0,262611,1714742
2014,2425,9259,279118,137378,1114379,9598224,0,19051553,5553,18358962,107581,9452,46334,0,0,504,0,89950,1409344
2015,5200,12997,184248,89580,767386,7056561,0,19029949,673,17759220,92194,299,11767,6969,0,307,120,56050,1228915
2016,8964,10615,86567,46946,1077391,8193849,0,17393398,482,14970034,37299,1484,27902,386651,0,338,0,45224,544048
2017,7621,8876,38840,27461,1169253,7503024,0,18177194,614,16231360,35425,1482,11116,532066,0,114,0,22130,302607
2018,9662,20791,15036,8377,921529,7534930,0,19094683,0,17030106,17256,226,21963,1036707,0,0,0,32661,157143
2019,7607,17655,2906,3134,776047,5482536,0,19495759,5789,17433229,35674,1106,29924,1533759,0,75,0,19291,86449
2020,4804,21910,1152,616,1047876,6426633,0,17626028,0,17075712,19251,389,3727,1836827,0,0,0,11331,24479
2021,5926,13039,1491,50,1029493,0,13925495,13010549,0,16598215,13941,0,1259,1764568,8,153,2,4491,6315
2022,12276,13374,22,3,980576,0,14726499,10912638,1607,18024772,13435,0,18648,1452362,73,0,16,7515,4802